Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 22918ms | tok/sec: 22,876 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 306ms | tok/sec: 1,710,675 | mfu: 41.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 310ms | tok/sec: 1,689,578 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971713 | lrm: 1.00 | dt: 356ms | tok/sec: 1,472,961 | mfu: 35.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578771 | lrm: 1.00 | dt: 373ms | tok/sec: 1,406,540 | mfu: 34.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248857 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,062 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998090 | lrm: 1.00 | dt: 351ms | tok/sec: 1,494,288 | mfu: 36.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787108 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,617 | mfu: 37.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607025 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,638 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455187 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,737 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325422 | lrm: 1.00 | dt: 315ms | tok/sec: 1,664,791 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217121 | lrm: 1.00 | dt: 342ms | tok/sec: 1,532,781 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120771 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,852 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034944 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,015 | mfu: 36.7% | epoch: 1 | remaining: 299s    
step 00031 (2.2%) | loss: 5.289396 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,681 | mfu: 39.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.261204 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,864 | mfu: 38.5% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.234600 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,427 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.202894 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,492 | mfu: 39.8% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.175838 | lrm: 1.00 | dt: 338ms | tok/sec: 1,549,593 | mfu: 37.4% | epoch: 1 | remaining: 292s    
step 00036 (2.8%) | loss: 5.148834 | lrm: 1.00 | dt: 420ms | tok/sec: 1,249,073 | mfu: 30.2% | epoch: 1 | remaining: 291s    
step 00037 (2.9%) | loss: 5.121863 | lrm: 1.00 | dt: 343ms | tok/sec: 1,528,476 | mfu: 36.9% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.093567 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,675 | mfu: 36.9% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.065780 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,352 | mfu: 39.9% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.036129 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,428 | mfu: 39.2% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.009184 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,603 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.985311 | lrm: 1.00 | dt: 349ms | tok/sec: 1,501,657 | mfu: 36.3% | epoch: 1 | remaining: 289s    
step 00043 (3.6%) | loss: 4.960055 | lrm: 1.00 | dt: 359ms | tok/sec: 1,460,678 | mfu: 35.3% | epoch: 1 | remaining: 289s    
step 00044 (3.7%) | loss: 4.934158 | lrm: 1.00 | dt: 385ms | tok/sec: 1,361,341 | mfu: 32.9% | epoch: 1 | remaining: 289s    
step 00045 (3.8%) | loss: 4.906705 | lrm: 1.00 | dt: 358ms | tok/sec: 1,464,366 | mfu: 35.4% | epoch: 1 | remaining: 288s    
step 00046 (3.9%) | loss: 4.878830 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,475 | mfu: 37.5% | epoch: 1 | remaining: 288s    
step 00047 (4.0%) | loss: 4.844010 | lrm: 1.00 | dt: 360ms | tok/sec: 1,457,885 | mfu: 35.2% | epoch: 1 | remaining: 288s    
step 00048 (4.2%) | loss: 4.821396 | lrm: 1.00 | dt: 349ms | tok/sec: 1,501,887 | mfu: 36.3% | epoch: 1 | remaining: 287s    
step 00049 (4.3%) | loss: 4.791760 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,302 | mfu: 39.2% | epoch: 1 | remaining: 287s    
step 00050 (4.4%) | loss: 4.761884 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,171 | mfu: 38.8% | epoch: 1 | remaining: 287s    
step 00051 (4.5%) | loss: 4.736336 | lrm: 1.00 | dt: 343ms | tok/sec: 1,529,056 | mfu: 36.9% | epoch: 1 | remaining: 286s    
step 00052 (4.6%) | loss: 4.709302 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,215 | mfu: 39.8% | epoch: 1 | remaining: 286s    
step 00053 (4.7%) | loss: 4.681992 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,356 | mfu: 39.2% | epoch: 1 | remaining: 286s    
step 00054 (4.8%) | loss: 4.654321 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,526 | mfu: 38.6% | epoch: 1 | remaining: 285s    
step 00055 (4.9%) | loss: 4.627772 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,949 | mfu: 40.3% | epoch: 1 | remaining: 285s    
step 00056 (5.0%) | loss: 4.605579 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,599 | mfu: 38.0% | epoch: 1 | remaining: 285s    
step 00057 (5.1%) | loss: 4.581383 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,991 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00058 (5.3%) | loss: 4.553214 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,587 | mfu: 39.6% | epoch: 1 | remaining: 284s    
step 00059 (5.4%) | loss: 4.529809 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,053 | mfu: 39.2% | epoch: 1 | remaining: 284s    
step 00060 (5.5%) | loss: 4.504164 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,489 | mfu: 39.1% | epoch: 1 | remaining: 283s    
step 00061 (5.6%) | loss: 4.475413 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,467 | mfu: 40.0% | epoch: 1 | remaining: 283s    
step 00062 (5.7%) | loss: 4.453004 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,964 | mfu: 39.5% | epoch: 1 | remaining: 283s    
step 00063 (5.8%) | loss: 4.427515 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,336 | mfu: 39.1% | epoch: 1 | remaining: 282s    
step 00064 (5.9%) | loss: 4.402828 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,830 | mfu: 40.1% | epoch: 1 | remaining: 282s    
step 00065 (6.0%) | loss: 4.376319 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,112 | mfu: 39.8% | epoch: 1 | remaining: 282s    
step 00066 (6.1%) | loss: 4.354565 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,982 | mfu: 39.1% | epoch: 1 | remaining: 281s    
step 00067 (6.2%) | loss: 4.332125 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,544 | mfu: 39.8% | epoch: 1 | remaining: 281s    
step 00068 (6.3%) | loss: 4.311935 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,077 | mfu: 39.8% | epoch: 1 | remaining: 281s    
step 00069 (6.4%) | loss: 4.290798 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,558 | mfu: 39.3% | epoch: 1 | remaining: 280s    
step 00070 (6.5%) | loss: 4.269177 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,253 | mfu: 39.3% | epoch: 1 | remaining: 280s    
step 00071 (6.6%) | loss: 4.251489 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,506 | mfu: 40.0% | epoch: 1 | remaining: 280s    
step 00072 (6.7%) | loss: 4.227578 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,869 | mfu: 39.2% | epoch: 1 | remaining: 279s    
step 00073 (6.9%) | loss: 4.201304 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,522 | mfu: 39.0% | epoch: 1 | remaining: 279s    
step 00074 (7.0%) | loss: 4.177289 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,748 | mfu: 39.4% | epoch: 1 | remaining: 279s    
step 00075 (7.1%) | loss: 4.159728 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,820 | mfu: 39.1% | epoch: 1 | remaining: 278s    
step 00076 (7.2%) | loss: 4.142308 | lrm: 1.00 | dt: 359ms | tok/sec: 1,461,235 | mfu: 35.3% | epoch: 1 | remaining: 278s    
step 00077 (7.3%) | loss: 4.125551 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,026 | mfu: 39.4% | epoch: 1 | remaining: 278s    
step 00078 (7.4%) | loss: 4.101782 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,994 | mfu: 39.4% | epoch: 1 | remaining: 277s    
step 00079 (7.5%) | loss: 4.083088 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,135 | mfu: 39.0% | epoch: 1 | remaining: 277s    
step 00080 (7.6%) | loss: 4.063633 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,590 | mfu: 39.3% | epoch: 1 | remaining: 277s    
step 00081 (7.7%) | loss: 4.043260 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,535 | mfu: 39.8% | epoch: 1 | remaining: 276s    
step 00082 (7.8%) | loss: 4.024757 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,586 | mfu: 39.2% | epoch: 1 | remaining: 276s    
step 00083 (7.9%) | loss: 4.005640 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,965 | mfu: 40.1% | epoch: 1 | remaining: 276s    
step 00084 (8.0%) | loss: 3.988725 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,030 | mfu: 38.4% | epoch: 1 | remaining: 276s    
step 00085 (8.2%) | loss: 3.976407 | lrm: 1.00 | dt: 350ms | tok/sec: 1,499,305 | mfu: 36.2% | epoch: 1 | remaining: 275s    
step 00086 (8.3%) | loss: 3.960803 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,745 | mfu: 38.0% | epoch: 1 | remaining: 275s    
step 00087 (8.4%) | loss: 3.944855 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,690 | mfu: 39.3% | epoch: 1 | remaining: 275s    
step 00088 (8.5%) | loss: 3.927683 | lrm: 1.00 | dt: 335ms | tok/sec: 1,564,829 | mfu: 37.8% | epoch: 1 | remaining: 274s    
step 00089 (8.6%) | loss: 3.909529 | lrm: 1.00 | dt: 351ms | tok/sec: 1,494,783 | mfu: 36.1% | epoch: 1 | remaining: 274s    
step 00090 (8.7%) | loss: 3.896881 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,441 | mfu: 35.9% | epoch: 1 | remaining: 273s    
step 00091 (8.8%) | loss: 3.880453 | lrm: 1.00 | dt: 341ms | tok/sec: 1,539,460 | mfu: 37.2% | epoch: 1 | remaining: 273s    
step 00092 (9.0%) | loss: 3.862534 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,615 | mfu: 39.3% | epoch: 1 | remaining: 273s    
step 00093 (9.1%) | loss: 3.851354 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,885 | mfu: 39.1% | epoch: 1 | remaining: 272s    
step 00094 (9.2%) | loss: 3.838971 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,906 | mfu: 39.1% | epoch: 1 | remaining: 272s    
step 00095 (9.3%) | loss: 3.827790 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,117 | mfu: 40.3% | epoch: 1 | remaining: 272s    
step 00096 (9.4%) | loss: 3.818678 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,591 | mfu: 39.2% | epoch: 1 | remaining: 272s    
step 00097 (9.5%) | loss: 3.802486 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,310 | mfu: 38.9% | epoch: 1 | remaining: 271s    
step 00098 (9.6%) | loss: 3.792060 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,547 | mfu: 39.5% | epoch: 1 | remaining: 271s    
step 00099 (9.7%) | loss: 3.778696 | lrm: 1.00 | dt: 336ms | tok/sec: 1,560,864 | mfu: 37.7% | epoch: 1 | remaining: 271s    
step 00100 (9.8%) | loss: 3.768480 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,149 | mfu: 39.7% | epoch: 1 | remaining: 270s    
step 00101 (9.9%) | loss: 3.753539 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,647 | mfu: 39.9% | epoch: 1 | remaining: 270s    
step 00102 (10.0%) | loss: 3.743614 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,153 | mfu: 38.7% | epoch: 1 | remaining: 270s    
step 00103 (10.1%) | loss: 3.735498 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,631 | mfu: 39.5% | epoch: 1 | remaining: 269s    
step 00104 (10.2%) | loss: 3.717867 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,375 | mfu: 39.5% | epoch: 1 | remaining: 269s    
step 00105 (10.4%) | loss: 3.709794 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,501 | mfu: 39.6% | epoch: 1 | remaining: 269s    
step 00106 (10.5%) | loss: 3.702643 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,829 | mfu: 39.1% | epoch: 1 | remaining: 268s    
step 00107 (10.6%) | loss: 3.691054 | lrm: 1.00 | dt: 343ms | tok/sec: 1,527,929 | mfu: 36.9% | epoch: 1 | remaining: 268s    
step 00108 (10.7%) | loss: 3.684451 | lrm: 1.00 | dt: 349ms | tok/sec: 1,501,883 | mfu: 36.3% | epoch: 1 | remaining: 268s    
step 00109 (10.8%) | loss: 3.670300 | lrm: 1.00 | dt: 356ms | tok/sec: 1,474,585 | mfu: 35.6% | epoch: 1 | remaining: 267s    
step 00110 (10.9%) | loss: 3.663971 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,556 | mfu: 39.8% | epoch: 1 | remaining: 267s    
step 00111 (11.0%) | loss: 3.658712 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,646 | mfu: 39.6% | epoch: 1 | remaining: 267s    
step 00112 (11.1%) | loss: 3.651836 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,324 | mfu: 39.1% | epoch: 1 | remaining: 266s    
step 00113 (11.2%) | loss: 3.642074 | lrm: 1.00 | dt: 334ms | tok/sec: 1,572,004 | mfu: 38.0% | epoch: 1 | remaining: 266s    
step 00114 (11.3%) | loss: 3.631751 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,608 | mfu: 37.6% | epoch: 1 | remaining: 266s    
step 00115 (11.5%) | loss: 3.628644 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,016 | mfu: 38.5% | epoch: 1 | remaining: 265s    
step 00116 (11.6%) | loss: 3.621941 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,561 | mfu: 38.9% | epoch: 1 | remaining: 265s    
step 00117 (11.7%) | loss: 3.620236 | lrm: 1.00 | dt: 362ms | tok/sec: 1,449,396 | mfu: 35.0% | epoch: 1 | remaining: 265s    
step 00118 (11.8%) | loss: 3.615763 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,216 | mfu: 40.2% | epoch: 1 | remaining: 264s    
step 00119 (11.9%) | loss: 3.607140 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,191 | mfu: 38.9% | epoch: 1 | remaining: 264s    
step 00120 (12.0%) | loss: 3.601982 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,267 | mfu: 38.4% | epoch: 1 | remaining: 264s    
step 00121 (12.1%) | loss: 3.594172 | lrm: 1.00 | dt: 315ms | tok/sec: 1,666,391 | mfu: 40.3% | epoch: 1 | remaining: 263s    
step 00122 (12.2%) | loss: 3.582520 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,751 | mfu: 39.4% | epoch: 1 | remaining: 263s    
step 00123 (12.3%) | loss: 3.577060 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,853 | mfu: 38.6% | epoch: 1 | remaining: 263s    
step 00124 (12.4%) | loss: 3.575375 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,932 | mfu: 39.6% | epoch: 1 | remaining: 262s    
step 00125 (12.5%) | loss: 3.571709 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,209 | mfu: 39.8% | epoch: 1 | remaining: 262s    
step 00126 (12.7%) | loss: 3.564581 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,590 | mfu: 37.2% | epoch: 1 | remaining: 262s    
step 00127 (12.8%) | loss: 3.562322 | lrm: 1.00 | dt: 361ms | tok/sec: 1,451,613 | mfu: 35.1% | epoch: 1 | remaining: 261s    
step 00128 (12.9%) | loss: 3.554985 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,985 | mfu: 39.8% | epoch: 1 | remaining: 261s    
step 00129 (13.0%) | loss: 3.547610 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,454 | mfu: 39.2% | epoch: 1 | remaining: 261s    
step 00130 (13.1%) | loss: 3.542586 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,506 | mfu: 38.6% | epoch: 1 | remaining: 260s    
step 00131 (13.2%) | loss: 3.536841 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,805 | mfu: 39.7% | epoch: 1 | remaining: 260s    
step 00132 (13.3%) | loss: 3.531567 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,970 | mfu: 39.5% | epoch: 1 | remaining: 260s    
step 00133 (13.4%) | loss: 3.526611 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,258 | mfu: 38.9% | epoch: 1 | remaining: 259s    
step 00134 (13.5%) | loss: 3.521647 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,084 | mfu: 39.7% | epoch: 1 | remaining: 259s    
step 00135 (13.6%) | loss: 3.519387 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,216 | mfu: 39.6% | epoch: 1 | remaining: 259s    
step 00136 (13.7%) | loss: 3.512960 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,815 | mfu: 39.2% | epoch: 1 | remaining: 258s    
step 00137 (13.9%) | loss: 3.510567 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,275 | mfu: 38.1% | epoch: 1 | remaining: 258s    
step 00138 (14.0%) | loss: 3.501346 | lrm: 1.00 | dt: 337ms | tok/sec: 1,557,255 | mfu: 37.6% | epoch: 1 | remaining: 258s    
step 00139 (14.1%) | loss: 3.492710 | lrm: 1.00 | dt: 344ms | tok/sec: 1,524,625 | mfu: 36.8% | epoch: 1 | remaining: 257s    
step 00140 (14.2%) | loss: 3.487388 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,160 | mfu: 38.4% | epoch: 1 | remaining: 257s    
step 00141 (14.3%) | loss: 3.482029 | lrm: 1.00 | dt: 350ms | tok/sec: 1,496,496 | mfu: 36.2% | epoch: 1 | remaining: 257s    
step 00142 (14.4%) | loss: 3.479660 | lrm: 1.00 | dt: 400ms | tok/sec: 1,310,921 | mfu: 31.7% | epoch: 1 | remaining: 256s    
step 00143 (14.6%) | loss: 3.477597 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,030 | mfu: 40.1% | epoch: 1 | remaining: 256s    
step 00144 (14.7%) | loss: 3.472013 | lrm: 1.00 | dt: 363ms | tok/sec: 1,443,459 | mfu: 34.9% | epoch: 1 | remaining: 256s    
step 00145 (14.8%) | loss: 3.469519 | lrm: 1.00 | dt: 355ms | tok/sec: 1,478,402 | mfu: 35.7% | epoch: 1 | remaining: 255s    
step 00146 (14.9%) | loss: 3.467018 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,968 | mfu: 39.8% | epoch: 1 | remaining: 255s    
step 00147 (15.0%) | loss: 3.466116 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,501 | mfu: 38.4% | epoch: 1 | remaining: 255s    
step 00148 (15.1%) | loss: 3.467166 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,125 | mfu: 38.2% | epoch: 1 | remaining: 254s    
step 00149 (15.2%) | loss: 3.465059 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,119 | mfu: 39.7% | epoch: 1 | remaining: 254s    
step 00150 (15.3%) | loss: 3.458515 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,914 | mfu: 39.4% | epoch: 1 | remaining: 254s    
step 00151 (15.4%) | loss: 3.455886 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,502 | mfu: 38.9% | epoch: 1 | remaining: 253s    
